Name,Slug,City/Town,County,Postcode,Full Address,Latitude,Longitude,Website,Facebook,Instagram,Description,Practice,Lessons,Competitions,Practice Notes,Lesson Notes,Competition Notes,Events URL
Ashcombe Shooting Ground,ashcombe-shooting-ground,Ashcombe,Devon,EX7 0QD,"Colley Lane, Ashcombe, Devon, EX7 0QD",50.59599,-3.5370089,https://www.ashcombeshootingground.co.uk,https://www.facebook.com/ashcombeshootingground,https://www.instagram.com/ashcombeshootinggroundasg/,"Ashcombe Shooting Ground, nestled in the picturesque Ashcombe Estate near Dawlish, Devon, is the South West’s premier clay‑shooting destination, with over 30 years of heritage and recent reinvestment under the Sportsman Gun Centre group. The ground boasts an extensive layout featuring high‑tower, sporting and skeet ranges supported by more than 100 automatic traps offering varied presentations from battue to midi targets. Practice shooting is available Wednesday through Saturday (9:30 am-5 pm), and Sunday (10 am–3 pm) with no prior booking required for licence‑holders - just turn up and shoot. The venue also hosts a range of competitions - including Registered English Sporting, Supersporting 100‑target events, and the Browning Sporting Masters - and welcomes novice to advanced shooters alike. Professional one‑on‑one lessons, corporate packages, gun hire, and cartridges are available onsite, along with on‑site catering and a friendly, instructional environment for beginners.",y,y,y,,,,"[""https://www.ashcombeshootingground.co.uk/book-competitions"", ""https://www.ashcombeshootingground.co.uk/browning-sporting-masters-120"", ""https://www.ashcombeshootingground.co.uk/copy-of-browning-sporting-masters""]"
Landare Shooting Ground,landare-shooting-ground,Liskeard,Cornwall,PL14 4QD,Landare Farm Duloe Liskeard Cornwall PL14 4QD,50.4004848,-4.5319686,,https://www.facebook.com/groups/680125975336771,,,n,n,y,,,,
High View Clay Shoot,high-view-clay-shoot,Launceston,Cornwall,PL15 8NR,"Beardon Barton, Boyton, Launceston. PL15 8NR",50.7151161,-4.4076281,https://www.highviewclayshoot.co.uk/,https://www.facebook.com/www.highviewclayshoot.co.uk,,,n,n,y,,,Comps run every 2 weeks. Check FB for the fixtures,"[""https://www.highviewclayshoot.co.uk/fixtures/""]"
Cart Ridge,cart-ridge-shooting-ground,Saltash,Cornwall,PL12 5AB,"Tredinnick Farm, Saltash, Cornwall, PL12 5AB",50.413385,-4.3097299,https://www.cart-ridge.co.uk,https://www.facebook.com/groups/202659073153721,,,n,n,y,,,,
Sky High Shooting Ground,sky-high-shooting-ground,Holsworthy,Cornwall,EX22 7YB,"Stadson Farm, Brandis Corner, Holsworthy EX22 7YB",50.8195054,-4.2250958,,https://www.facebook.com/groups/2174985292652450,,,n,n,y,,,,
Lowerlake Shooting Ground,lowerlake-shooting-ground,Liskeard,Cornwall,PL14 5BQ,"Upton Cross, Liskeard, Cornwall. PL14 5BQ",50.5372592,-4.4249939,https://www.shootingincornwall.co.uk,https://www.facebook.com/shootingincornwall,,,y,y,n,100 bird sporting practice on Wednesdays from April-September,,,
Newnham Park,newham-park,Plymouth,Devon,PL7 5BN,"Newnham Park, Plympton, Plymouth, Devon. PL7 5BN",50.4028831,-4.03825,https://newnham.co.uk,,,,n,y,n,,,,
Eastway Clay Shoot,eastway-clay-shoot,Tiverton,Devon,EX16 8NP,"Eastway Farm, Witheridge EX16 8NP",50.9110387,-3.6737446,,https://www.facebook.com/eastwayclayshoot,,,n,n,y,,,Clay shoots are the first full weekend each month,
Mount Hawke Gun Club,mount-hawke-gun-club,St Agnes,Cornwall,TR4 8BX,"Mingoose, Mingoose, Cornwall, TR4 8BX",50.29422,-5.21514,,https://www.facebook.com/groups/3228327273879366,,,n,n,y,,,Last Saturday of the month,
EJ Churchill,ej-churchill,High Wycombe,Buckinghamshire,HP14 3NS,"Park Lane, Lane End, Stokenchurch, High Wycombe HP14 3NS",51.6217192,-0.8221804,https://www.ejchurchill.com,https://www.facebook.com/ejchurchill,https://www.instagram.com/ejchurchill,,y,y,y,,,,
Bisley Shooting Ground,bisley-shooting-ground,Woking,Surrey,GU24 0NY,"Bisley Camp, Woking, GU24 0NY",51.31155323,-0.65596696,https://www.bisleyshooting.com,https://www.facebook.com/bisleyshooting,https://www.instagram.com/bisley_shooting/,,y,y,y,,,,
Ian Coley Sporting,ian-coley-sporting,Cheltenham,Gloucestershire,GL54 4AX,"Nr. Andoversford, CHELTENHAM, Gloucestershire, GL54 4AX",51.8577293,-2.0310567,https://www.iancoley.co.uk,https://www.facebook.com/iancoleysporting,https://www.instagram.com/iancoleysporting/,,y,y,y,,,Registered sporting on the first Wednesday of each month,
Barbury Shooting School,barbury-shooting-ground,Swindon,Wiltshire,SN4 0QH,"Nr. Barbury Castle, Wroughton, Swindon, SN4 0QH",51.4831968,-1.774094933,https://www.barburyshootingschool.com,https://www.facebook.com/Barburyshoot,https://www.instagram.com/barburyshooting,,y,y,y,,,,
Eaton Hall Shooting Ground,eaton-hall-shooting-ground,Ashbourne,Derbyshire,DE6 5LN,"Upwoods Road, Doveridge, Ashbourne, Derbyshire, DE6 5LN",52.9218745,-1.84225493,https://eaton-hall.com,https://www.facebook.com/profile.php?id=100063583930617,https://www.instagram.com/eatonhall_/,,y,y,y,,,,
North Devon Shooting Ground,north-devon-shooting-ground,Ilfracombe,Devon,EX34 9RG,"Ettiford Farm, Ilfracombe EX34 9RG",51.1806544,-4.0931802,https://www.northdevonshootingground.co.uk,https://www.facebook.com/NorthDevonSG/,,,n,y,n,,,,
Bywell Shooting Ground,bywell-shooting-ground,Felton,Northumberland,NE65 9QQ,"Bywell Farm, Felton, Northumberland, NE65 9QQ",55.2714644,-1.7490098,https://www.bywellshootingground.co.uk,https://www.facebook.com/bywellshooting/,https://www.instagram.com/bywell_shooting_ground,,y,y,y,,,,
Edgehill Shooting Ground,edgehill-shooting-ground,Warmington,Warwickshire,OX17 1DH,"Camp Lane, Warmington, Warwickshire, OX17 1DH",52.1263668,-1.4210459,https://edgehillshooting.co.uk,https://www.facebook.com/profile.php?id=100063491083063#,https://www.instagram.com/edgehillshootingground/,,y,y,n,,,,
Sporting Targets,sporting-targets-shooting-ground,Riseley,Bedfordshire,MK44 1BX,"Knotting Lane, Riseley, Bedfordshire, MK44 1BX",52.2507526,-0.5090532,https://www.sportingtargets.co.uk,https://www.facebook.com/sporting.targets/,https://www.instagram.com/sporting_targets,,y,y,y,,,,
Oakedge Shooting Ground,oakedge-shooting-ground,Stafford,Staffordshire,ST17 0XS,"Oakedge Park, Wolseley Bridge, Stafford, ST17 0XS",52.7804066,-1.9911868,https://www.oakedgeshootingground.co.uk,https://www.facebook.com/Oakedge/,https://www.instagram.com/oakedgeshootingground/,,y,y,n,,,,
West Midlands Shooting Ground,west-midlands-shooting-ground,Market Drayton,Shropshire,TF9 3LH,"Hodnet, Market Drayton, Shropshire, TF9 3LH",52.8375367,-2.6179549,https://wmsg.co.uk,https://facebook.com/wmsghodnet,https://www.instagram.com/wmsghodnet,,y,y,y,,,,
Lea Marston Shooting Club,lea-marston-shooting-club,Sutton Coldfield,West Midlands,B76 0DA,"Blackgreaves Farm, Blackgreaves Lane, Lea Marston, Sutton Coldfield, B76 0DA",52.5436834,-1.7099752,https://leamarstonshootingclub.com,https://www.facebook.com/leamarstonshootingclubltd,https://www.instagram.com/lmshootingclub/,,y,y,n,,,,
Honesberie Shooting Ground,honesberie-shooting-ground,Southam,Warwickshire,CV47 7SG,"The Grange, Priors Marston, Southam, Warwickshire, CV47 7SG",52.200609,-1.2913859,https://honesberieshooting.co.uk,http://www.facebook.com/pages/Honesberie-Shooting-School/154619271232321,https://www.instagram.com/honesberie/,,y,y,y,,,,
Thimbleby Shooting Ground,thimbleby-shooting-ground,Northallerton,North Yorkshire,DL6 3PY,"Sandpit Ln, Northallerton DL6 3PY",54.346314,-1.3138103,https://www.thimblebyshoot.com,https://www.facebook.com/thimblebySG,,,y,y,y,,,,
Orston Shooting Ground,orston-shooting-ground,Nottingham,Nottinghamshire,NG13 9NX,"Bottesford Lane, Orston, Nottingham, NG13 9NX",52.9534174,-0.8352662,https://www.orston.com,https://www.facebook.com/orstonSG/,https://www.instagram.com/orstonshootingground/,,y,y,y,,,,
Coniston Shooting Ground,coniston-shooting-ground,Skipton,North Yorkshire,BD23 4EA,"Coniston Cold, Skipton, North Yorkshire, BD23 4EA",54.00192,-2.1849479,https://www.conistonshootingground.co.uk,,,,y,y,y,,,,
Grimsthorpe Shooting Ground,grimsthorpe-shooting-ground,Bourne,Lincolnshire,PE10 0LN,"Scottlethorpe Road, Edenham, Bourne, Lincolnshire, PE10 0LN",52.7577232,-0.4673135,https://www.grimsthorpeshootingground.co.uk,https://facebook.com/grimsthorpeestatesg,https://www.instagram.com/grimsthorpeshootingground/,,y,y,y,,,,
Kibworth Shooting Ground,kibworth-shooting-ground,Leicester,Leicestershire,LE8 0RD,"Main A6, Harborough Road, Kibworth, Leicester, LE8 0RD",52.5284116,-0.9679689,https://www.kibworthshootingground.co.uk,https://www.facebook.com/kibworthGunClub,https://www.instagram.com/kibworthshooting/,,y,y,y,,,,
East Of England Shooting Ground,east-of-england-shooting-ground,Spalding,Lincolnshire,PE12 0SL,"Peartree Hill Road, Spalding, PE12 0SL",52.7276368,-0.0434488,https://eesg.co.uk,https://www.facebook.com/nearspalding,https://www.instagram.com/east_englandsg/,,y,y,y,,,,
Polowood Shooting Ground,polowood-shooting-ground,Brighton,East Sussex,BN1 9PN,"St Mary’s Farm, Ridge Road, Falmer, Brighton, BN1 9PN",50.8804934,-0.0890348,https://claypigeonshootingbrighton.co.uk,https://en-gb.facebook.com/Polowood-Shooting-Ground-1556405401312284/,https://www.instagram.com/polowoodshootingground/,,y,y,y,Open days or pre-booking required,,,
Humberside Shooting Ground,humberside-shooting-ground,Brandesburton,East Yorkshire,YO25 8RY,"Catwick Lane, Brandesburton, Driffield, East Yorkshire YO25 8RY",53.9066862,-0.2818864,https://humbersideshootingground.co.uk,https://www.facebook.com/humbersideshooting,,,y,y,n,,,,
Southdown Gun Club,southdown-gun-club,Findon,West Sussex,BN14 0RQ,"Muntham Farm, Findon, West Sussex BN14 0RQ",50.8875416,-0.4392107,https://southdowngunclub.co.uk,https://www.facebook.com/Southdown-Gun-Club-129206720478878/,https://www.instagram.com/southdowngunclub/,,y,y,y,,,,
Brook Bank Shooting Ground,brook-bank-shooting-ground,Cheddar,Somerset,BS27 3UJ,"Brook Bank, Rodney Stoke, Cheddar, Somerset BS27 3UJ",51.244612,-2.760874,http://www.brookbankshooting.co.uk,http://www.facebook.com/pages/Brook-Bank-Shooting-Ground/266492045370,,,y,y,y,,,,
National Shooting Centre,national-shooting-centre,Brookwood,Surrey,GU24 0PB,"Bisley, Brookwood, Surrey, GU24 0PB",51.3131521,-0.802283,https://www.nationalshootingcentre.co.uk,https://www.facebook.com/NationalShootingCentre,https://www.instagram.com/nsc_bisley/,,y,y,y,,,,
Mid Norfolk Shooting Ground,mid-norfolk-shooting-ground,Norwich,Norfolk,NR8 6HS,"Fakenham Rd, Norwich, Norfolk, NR8 6HS",52.6971274,1.1770632,https://www.norfolkshooting.co.uk,http://www.facebook.com/norfolkshooting,,,y,y,y,,,,
Mendip Shooting Ground,mendip-shooting-ground,Wells,Somerset,BA5 3EH,"Haydon Drove, Haydon, Wells BA5 3EH",51.2323814,-2.5974492,https://www.mendipsg.co.uk,https://www.facebook.com/mendipsgltd,,,y,y,y,,,,
Wedgnock Shooting Ground,wedgnock-shooting-ground,Warwick,Warwickshire,CV35 7PX,"Wedgnock Lane, Warwick, Warwickshire, CV35 7PX",52.3058384,-1.6041367,https://www.adventuresport.co.uk/wedgnock-shooting-ground,,,,y,y,y,,,,
Holland & Holland Shooting Ground,holland-holland-shooting-ground,Northwood,London,HA6 2ST,"Ducks Hill Road, Northwood, London, HA6 2ST",51.5999531,-0.4540016,https://www.hollandandholland.com,https://www.facebook.com/HollandandHollandShootGrounds,,,y,y,y,,,,
Griffin-Lloyd Shooting Ground,griffin-lloyd-shooting-ground,Knighton,Powys,LD7 1SL,"Llangunllo, Knighton, Powys LD7 1SL",52.3237162,-3.1364801,https://www.griffinlloyd.co.uk,,,,y,y,y,,,,
West London Shooting School,west-london-shooting-school,Northolt,Greater London,UB5 6RA,"Sharvel Lane, West End Road, Northolt, UB5 6RA",51.5422573,-0.4049606,https://www.wlss1901.co.uk,https://www.facebook.com/westlondonshootingschool/,https://www.instagram.com/shootingschool/,,y,y,y,,,,
Kelbrook Shooting School,kelbrook-shooting-school,Kelbrook,Lancashire,BB8 7QH,"The Shooting Lodge, Off Cob Lane, Kelbrook, Lancashire, BB8 7QH",53.8842095,-2.1382518,https://www.kelbrook.com,https://facebook.com/kelbrookshootingschool/,,,y,y,n,,,,
Hownhall Shooting Ground,hownhall-shooting-ground,Midhurst,West Sussex,GU27 3HG,"Poors Common Road, Midhurst, West Sussex, GU27 3HG",51.0164698,-0.7267475,https://www.hownhallshooting.com,https://www.facebook.com/HownhallShooting/,https://www.instagram.com/hownhallshooting/?hl=en,,y,y,n,,,,
Cloudside Shooting Ground,cloudside-shooting-ground,Congleton,Cheshire,CW12 3QG,"Red Lane, Congleton, Cheshire, CW12 3QG",53.1649894,-2.1406499,https://cloudside.co.uk,https://www.facebook.com/CloudsideShooting/,https://www.instagram.com/cloudsideshooting/,,n,y,n,,,,
Courtlough Shooting Ground,courtlough-shooting-grounds,Balbriggan,Co. Dublin,K32 KD99,"Courtlough, Balbriggan, Co. Dublin, K32 KD99, Ireland",53.5705273,-6.1994714,https://courtlough.ie,https://www.facebook.com/courtloughsg/?fref=ts,https://www.instagram.com/courtlough.ie/,,y,y,y,,,,
Nuthampstead Shooting Ground,nuthampstead-shooting-ground,Royston,Hertfordshire,SG8 8LS,"Nuthampstead Airfield, Bulls Farm Cottage. Nuthampstead, Royston, Hertfordshire. SG8 8LS",51.9960057,0.0641494,https://www.nuthampsteadshootingground.co.uk,https://www.facebook.com/nuttyclays,https://www.instagram.com/nuttyclays/,,y,y,y,,,,
West Kent Shooting School,west-kent-shooting-school,Brenchley,Kent,TN12 7DG,"Old Hay, off Pearsons Green Road, Paddock Wood, Brenchley, Kent, TN12 7DG",51.1768609,0.423739,https://westkentshooting.co.uk,https://www.facebook.com/westkentshooting,https://www.instagram.com/westkentshooting/,,y,y,n,,,,
Eriswell Lodge Shooting Ground,eriswell-lodge,Brandon,Suffolk,IP27 9FB,"Eriswell Lodge, Brandon Road, Eriswell, Brandon, Suffolk, IP27 9FB",52.3915162,0.5516851,https://eriswell-lodge.com,https://en-gb.facebook.com/eriswelllodge/,https://www.instagram.com/eriswell_lodge/,,y,y,y,,,,
Chalky Hill Shooting Ground,chalky-hill-shooting-ground,Alton,Hampshire,GU34 5QA,"Chalky Hill, Medstead, Alton GU34 5QA",51.1273215,-1.0967744,https://www.chalkyhill.co.uk,https://www.facebook.com/chalkyhillclayshoot/,https://www.instagram.com/chalkyhillclayshoot/,,y,y,y,,,,
Northall Shooting Ground,northall-shooting-ground,Fletching,East Sussex,TN22 3SA,"Northall Farm, North Hall Lane, Fletching, East Sussex, TN22 3SA",51.0119008,0.0188637,https://northallcpc.co.uk,https://www.facebook.com/northallclaypigeonclub/,,,y,y,y,,,,
Willow Farm Shooting Ground,willow-farm-shooting-ground,Tenterden,Kent,TN30 7LA,"Willow Farm Bungalow, Reading Street, Tenterden, Kent, TN30 7LA",51.042662,0.749986,http://www.willowfarmshootingground.co.uk,https://www.facebook.com/profile.php?id=100063486582622,https://www.instagram.com/willowshooting,"Willow Farm Shooting Ground, located near Tenterden in the Kent countryside, is a 29‑acre clay‑shooting venue operating for over 30 years. The ground offers practice sessions and lessons in Sporting, Skeet, DTL, and Compact layouts from Wednesday through Saturday, while hosting competitive events - including weekly Sunday Sporting competitions and occasional registered 100‑bird English Sporting shoots - for novices through AAA‑level shooters. Experienced instructors provide coaching and group packages, and the site includes ample parking, refreshments, and facilities to ensure an enjoyable visit.",y,y,y,,,,
Copper Beech Shooting Ground,copper-beech-shooting-ground,Mansfield,East Midlands,NG20 9JQ,"Nether Langwith, Mansfield NG20 9JQ",53.2230306,-1.201733,,https://www.facebook.com/profile.php?id=100063669098154,,,n,n,y,,,,
South West Shooting School,south-west-shooting-school,Ilfracombe,Devon,EX34 9RG,"Ettiford Farm, Nr Ilfracombe, Devon, EX34 9RG",51.1775879,-4.0825809,https://www.southwestshooting.co.uk,https://www.facebook.com/southwestshootingschool,https://www.instagram.com/south_west_shooting_school/,,n,y,y,,,,
Sutton Gun Club,sutton-gun-club,Tamworth,Staffordshire,B78 2AS,"Unnamed Road, Tamworth, B78 2AS",52.5835851,-1.7518915,https://suttongc.co.uk,,,,y,y,y,,,,
Purbeck Shooting School,purbeck-shooting-school,Wareham,Dorset,BH20 7NG,"Puddletown Road, Wareham, Dorset, BH20 7NG",50.712059,-2.2187132,https://purbeckshootingschool.com,https://www.facebook.com/purbeckss,https://twitter.com/purbeckss,"Purbeck Shooting School, founded by Graham Brown in 1995 and now led by his son Sam, is a top‑rated clay target venue located on about 80 acres of heath and conifer woodland near Wareham in Dorset. Known for its varied terrain and natural contours, the school offers tuition for novices as well as experienced shooters, FITASC and English Sporting layouts, ladies‑only sessions, stag and hen parties, and corporate events",y,y,y,,,,
Royal Berkshire Shooting Ground,royal-berkshire-shooting-ground,Reading,Berkshire,RG8 8SD,"Hook End Lane Pangbourne, Reading RG8 8SD",51.4993611,-1.1531704,https://www.purdey.com/pages/our-shooting-school,https://www.facebook.com/royalberkshireshooting/,https://www.instagram.com/theshootingschool,"The Royal Berkshire Shooting Ground - also known today as Purdey at the Royal Berkshire Shooting School - is a premier clay shooting facility set across approximately 100 acres of scenic Downland near Pangbourne, Berkshire, just about an hour’s drive or fast‑train ride from Central London. Established in the early 1990s and acquired by the distinguished London-based gunmaker Purdey in 2018 (with rebranding in 2022), the ground is widely regarded as one of the UK’s finest shooting schools",y,y,y,,,,
Owls Lodge Shooting Ground,owls-lodge-shooting-ground,Winchester,Hampshire,SO21 3QS,"Drayton Road, Barton Stacey, Winchester, Hampshire, SO21 3QS",51.1838371,-1.367122,https://www.olss.co.uk/,https://www.facebook.com/owlslodgeshootingschool/,https://www.instagram.com/owlslodgeshootingschool/,"Owls Lodge Shooting School, founded in 2010 by Olympic double‑trap champion Richard Faulds MBE on the family’s Owl’s Lodge farm in Barton Stacey, Hampshire, offers a premier clay‑pigeon experience across rolling woodland just off the A303 near Winchester. Open for general practice most Tuesdays and Thursdays from 10:00 to 18:00, the school features registered CPSA events in disciplines including English Sporting, Sportrap, Down The Line and FITASC, along with tuition for shooters at all levels. Its layout includes 14 or more stands thoughtfully integrated to allow multiple games from a single position, making it both varied and accessible to novices and experienced shooters alike. With expert instruction, well‑maintained grounds and a welcoming clubhouse, Owls Lodge provides both recreational and competitive clay shooting in a scenic rural setting.",y,y,y,,,,
Fauxdegla International Clay Shooting Centre,fauxdegla-international-clay-shooting-centre,Llandegla,Wrexham,LL11 3AL,"Llandegla, Wrexham, LL11 3AL",53.08447705,-3.189463455,https://www.fauxdegla.co.uk,https://www.facebook.com/fauxdegla,,"Fauxdegla International Clay Shooting Centre, located near Wrexham in North Wales, is a Premier Plus CPSA ground offering one of the UK’s top clay shooting experiences. Set on scenic Llandegla Moor, it features 12 sporting stands, Compak, Sportrap, DTL, Skeet, ABT, Olympic Trap, and Universal Trench—all fully covered and many wheelchair accessible.",y,y,y,Open Wed to Sun 10am - 5pm. Late night on Wed during the summer.,,,"[""https://www.fauxdegla.co.uk/competitions""]"
Ferndale Shooting Club,ferndale-shooting-club,Ferndale,Mid Glamorgan,CF43 4UF,"CF43 4UF, Ferndale, Rhondda Cynon Taf, Wales, United Kingdom",51.67185678,-3.437587119,https://ferndaleshootingclub.co.uk,,,"Ferndale Shooting Club, established in 1984, is a clay pigeon shooting ground nestled at the top of Rhondda Fach Valley, between Ynysybwl and Ferndale, near Llanwonno and the Brynfynnon Hotel Ferndale Shooting Club. Licensed and insured, it welcomes everyone from beginners to experienced shooters, offering a variety of targets and taster sessions, along with group and party bookings Ferndale Shooting ClubWTSF. The club is friendly and inclusive, with members always ready to help over a cup of tea Ferndale Shooting Club. It’s affiliated with CPSA, WCTSA, and WTSF, and even fields a competitive team, the Ferndale Falcons, while organizing shooting trips both locally and abroad",y,n,n,Thursdays and Saturdays. Pre-book only.,,,
Crynant Shooting Ground,crynant-shooting-ground,Crynant,Neath,SA10 8PP,"Crynant, NEATH SA10 8PP, South Wales",51.76161848,-3.755503983,https://www.crynantshootingground.co.uk,https://www.facebook.com/crynantshootingground,https://www.instagram.com/crynantshootingground/,"Crynant Shooting Ground is a clay pigeon shooting venue set in a serene woodland area within South Wales’ Neath Valley, on the edge of the mountains. It offers a full suite of clay shooting disciplines—Sporting, Skeet, Automatic Ball Trap (ABT), Down-The-Line (DTL), and Euro‑Trap—all year round. Whether you're new to shooting or experienced, the club welcomes all levels and provides taster sessions and tuition with expert instructors, including options for juniors. Set within the Brecon National Park, the facility features a cosy clubhouse and parking for up to 50 vehicles, and it’s also open for group and corporate bookings, stag or hen parties, and team‑building events.",y,y,y,,,,
Clay Shooting in Wales,clay-shooting-in-wales,Coelbren,Neath,SA10 9PH,"Near hendryd waterfalls, Coelbren, Neath SA10 9PH",51.80622024,-3.666240069,https://learn2shootclays.wixsite.com/clay-shooting-wales,,,"Clay Shooting in Wales offers a welcoming bi-weekly Sunday club that embraces shooters of all experience levels—novices, enthusiasts, and everyone in between. Sessions begin at around 10:30 am held on Fridays, Saturdays, Sundays, and Bank Holidays, with flexibility available for additional days and times upon request. The experience includes a mix of various clay traps, shaded seating, tea, coffee, snacks, and accessible facilities, including toilets and wheelchair access. They provide 1‑to‑1 lessons with BASC‑Accredited Shotgun Coaches covering safety, handling, and technique, plus “fault‑finding” help for those wanting to polish their skills. Gift vouchers are also available for experiences, lessons, and group bookings.",y,y,n,"Friday, Saturday, Sunday, plus bookings at other times",,,
The Scottish Clay Shooting Centre,scottish-clay-shooting-centre,Leuchars,Fife,KY16 0DT,"Craigie Farm, Leuchars, Fife, Scotland, KY16 0DT",56.4024929,-2.8732299,https://www.scottishclayshootingcentre.co.uk,https://www.facebook.com/Scottish-Clay-Shooting-Centre-1417698268484518/,,,y,y,n,,,,
National Shooting Centre Scotland,national-shooting-centre-scotland,Slamannan,Falkirk,FK1 3AL,"Wester Jawcraig, Slamannan, Falkirk. FK1 3AL",55.956609,-3.8732289,https://www.nsc92.com,https://www.facebook.com/profile.php?id=100072366422359&sk=about,https://www.instagram.com/nationalshootingcentre/,,y,y,y,,,,
County Clays Scotland,county-clays-scotland,Dunkeld,Perthshire,PH8 0HX,"Dunkeld House Hotel, Dunkeld, Perthshire PH8 0HX, Scotland",56.5666292,-3.6010851,https://www.countyclays.co.uk,https://www.facebook.com/countyclays,,,y,y,y,Caddied Pay-Per-Clay,,,
Westlands Country Park Shooting Ground,westlands-country-park-shooting-ground,Annan,Dumfries and Galloway,DG12 6RS,"Westlands Country Park, The Broats Moss, Annan, DG12 6RS",55.009193,-3.1622629,https://www.westlands.co.uk/shooting-ground,https://www.facebook.com/Westlandscp/,https://www.instagram.com/westlandscp/,,y,y,n,,,,
North Ayrshire Shooting Ground,north-ayrshire-shooting-ground,Dalry,North Ayrshire,KA24 5HN,"Blackstone Farm, Dalry. KA24 5HN",55.7048003,-4.7815204,https://www.continentalshooting.co.uk,https://www.facebook.com/groups/240782182653719/?hoisted_section_header_type=recently_seen&multi_permalinks=5910329662365581,,,n,y,y,,,,
Loch Lomond Shooting School,loch-lomond-shooting-school,Balloch,West Dunbartonshire,G83 8QY,"Tullichewan Farm, Upper Stoneymollan Road, Balloch G83 8QY",55.9960187,-4.6053893,https://www.lomondshooting.co.uk,https://www.facebook.com/lochlomondshooting,,,n,y,n,,,,
Morton Clay Targets,morton-clay-targets,Livingston,West Lothian,EH53 0JT,"Morton Rd, Mid Calder, Livingston, EH53 0JT",55.8526031,-3.4700558,https://www.mortonclaytargets.co.uk,https://www.facebook.com/profile.php?id=100063509112302,,,y,y,y,,,,
Chessgrove Shooting,chessgrove-shooting,Chessgrove,Gloucestershire,GL17 0QD,"Chessgrove Farm, Chessgrove, Longhope, Glos, GL17 0QD",51.8749552,-2.466708305,https://chessgroveshooting.co.uk/,,,"Chessgrove Shooting is a welcoming, family-run clay pigeon shooting ground set in the scenic Forest of Dean countryside. The venue features seven varied stands, each offering two trap directions, from gentle rising and crossing clays to fast, challenging targets like bolting rabbits. It caters to all levels, from complete beginners to experienced shots. All equipment is provided, including guns, cartridges, clays, and hearing protection, and every session is supervised by friendly, knowledgeable instructors. The club also offers tailored packages for stag and hen parties, birthdays, and corporate groups. For seasoned shooters, simulated game days are available, offering an immersive field-style experience with hospitality included.",y,y,n,,,,
Crediton Gun Club,crediton-gun-club,Crediton,Devon,EX17 3QJ,"Crediton, Devon. EX17 3QJ",50.7737619,-3.6867734,,https://www.facebook.com/profile.php?id=100057055886455,,,n,n,y,,,Saturdays only,
Barrow Sporting Clays,barrow-sporting-clays,Bury Saint Edmunds,Suffolk,IP28 6RD,"New Rd, Bury Saint Edmunds IP28 6RD",52.2621345,0.6074975,,https://www.facebook.com/BarrowSportingTargets,https://www.instagram.com/barrowsportingclays,,n,n,y,,,100 registered ESP competition. 1st & 3rd Sunday of each month. Entries 9-2pm.,
Atkin Grant & Lang Shooting Ground,atkin-grant-lang-shooting-ground,St Albans,Hertfordshire,AL3 8LP,"Windmill Road, Markyate St Albans, AL3 8LP",51.8396359,-0.4441255,https://www.agl-uk.com/,https://www.facebook.com/AGLshooting,https://www.instagram.com/aglshooting/,,y,y,y,,,,
Sussex Gun Club,sussex-gun-club,Findon,West Sussex,BN14 0RQ,"Muntham Farm, Findon, West Sussex BN14 0RQ",50.8838132,-0.4426675,https://southdowngunclub.co.uk/,https://www.facebook.com/SouthdownGunRoom,https://www.instagram.com/southdowngunclub/,,y,y,y,,,,
Beverley and East Yorkshire Shooting Ground,beverley-shooting-ground,Beverley,Yorkshire,HU17 7RB,"Bygot Wood, Bygot Cl, Beverley, HU17 7RB",53.8790654,-0.4843561,https://beverleyshootingground.co.uk/,https://www.facebook.com/profile.php?id=61559608663740,,,y,y,y,,,,